Name,Specification,County,Address,City,State,Zip,Information,Recovery Informed Institutional Services,Recovery Community Centers,Collegiate Recovery Programs,Recovery/ Drug Courts,Mutual-Aid Organizations,Recovery Community Organizations,Prevention Organizations,Peer Recovery Services,Harm Reduction Organizations,Re-Entry Services Organizations,Recovery Residences,Treatment Services,Advocacy Organizations,Recovery High Schools,Website,Phone,Email
A.C.T.I.O.N. Coalition of Johnson County,,Johnson,138 East Main St,Mountain City,TN,37683,"A.C.T.I.O.N (Alliance of Citizens Together Improving Our Neighborhoods) Coalition is a non-profit organization located in Mountain City, TN. We take great pride in providing our community with the resources it needs for a healthy, happy, drug-free Johnson County.",,,,,,,1,,,,,,,,https://actioncoalition.org/,423-727-0780,"Trish Burchette:
tburchette@actioncoalition.org"
ACTION Addiction Recovery Resource Center (AARRC),,Johnson,102 Village Square Ln,Mountain City,TN,37683,"The A.C.T.I.O.N Addiction Recovery Resource Center (AARRC) is to 
help those in our community find and utilize the resources
needed for treatment and recovery options. ",,1,,,,,,,,,,,,,https://actioncoalition.org/aarrc,423-220-9517,"Matt LaMarr:
matt.aarrc@outlook.com"
Al-Anon ,Free to be Me,Carter,3871 Highway 19E,Elizabethton,TN,37643,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,Free to be Me AFG,Hamblen,600 W Main St,Morristown,TN,37814,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,Harvesting Hope AFG,Hawkins,101 Barlow St,Rogersville,TN,37857,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,Voices with Choices AFG,Sullivan,1200 E Center St,Kingsport,TN,37660,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon , AFG A Room To Share,Washington,128 W Main St,Jonesborough,TN,37659,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,Courage to Change AFG,Washington,603 Sunset Dr,Johnson City,TN,37604,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,Mountain Heart AFG,Washington,405 Roy Martin Rd Unit 104,Johnson City,TN,37615,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,New Beginnings AFG,Washington,603 Sunset Dr,Johnson City,TN,37604,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,New Hope AFG,Washington,603 Sunset Dr,Johnson City,TN,37604,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Al-Anon ,New Life AFG,Washington,603 Sunset Dr,Johnson City,TN,37604,Al-Anon is a mutual support group of peers who share their experience in applying the Al-Anon principles to problems related to the effects of a problem drinker in their lives.,,,,,1,,,,,,,,,,https://al-anon.org/,,
Alcoholics Anonymous,Keep It Simple,Hawkins,208 Maple Ave,Church Hill,TN,37642,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous,Serenity Improvement & Beyond Your Wildest Dreams,Sullivan,1200 E Center St,Kingsport,TN,37660,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous,Unicoi Step Study,Unicoi,417 Tennessee St,Unicoi,TN,37692,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous,First Things First,Washington,5210 N Roan St,Johnson City,TN,37615,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous,King Center Group,Washington,300 E Main St,Johnson City,TN,37601,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous, Monday Night Big Book & Upper Room Mens Meeting,Washington,178 S Pickens Bridge Rd,Johnson City,TN,37615,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous,Simply AA,Washington,610 E Watauga Ave,Johnson City,TN,37601,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
